,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,position_simple,player_id
90,Oldham Athletic,Mark Brennan,27.0,Central Midfield,Man City,£200Th.,in,Winter,0.2,Premier League,1992,1992/1993,midfielder,64.0
91,Oldham Athletic,Paul Moulden,25.0,Forward,Birmingham,£168Th.,out,Winter,0.168,Premier League,1992,1992/1993,attacker,65.0
92,Queens Park Rangers,Devon White,28.0,Forward,Cambridge Utd.,£113Th.,in,Winter,0.113,Premier League,1992,1992/1993,attacker,10965.0
93,Queens Park Rangers,Andy Tillson,26.0,Defender,Bristol Rovers,£401Th.,out,Winter,0.401,Premier League,1992,1992/1993,defender,67.0
94,Coventry City,Micky Quinn,30.0,Centre-Forward,Newcastle,£270Th.,in,Winter,0.27,Premier League,1992,1992/1993,attacker,68.0
95,Coventry City,David Rennie,28.0,Defensive Midfield,Birmingham,£108Th.,in,Winter,0.10800000000000001,Premier League,1992,1992/1993,midfielder,69.0
97,Manchester United,Eric Cantona,26.0,Second Striker,Leeds,£1.62m,in,Winter,1.62,Premier League,1992,1992/1993,attacker,70.0
98,Crystal Palace,Stan Collymore,21.0,Centre-Forward,Southend United,£150Th.,out,Winter,0.15,Premier League,1992,1992/1993,attacker,10966.0
99,Nottingham Forest,Robert Rosario,26.0,Forward,Coventry,£437Th.,in,Winter,0.43700000000000006,Premier League,1992,1992/1993,attacker,72.0
100,Ipswich Town,Glenn Pennyfather,30.0,Defender,Bristol City,£90Th.,out,Winter,0.09,Premier League,1992,1992/1993,defender,73.0
101,Arsenal FC,Martin Keown,26.0,Centre-Back,Everton,£2.70m,in,Winter,2.7,Premier League,1992,1992/1993,defender,74.0
102,Chelsea FC,Dmitri Kharin,24.0,Goalkeeper,CSKA Moscow,£360Th.,in,Winter,0.36,Premier League,1992,1992/1993,goalkeeper,75.0
103,Chelsea FC,Steve Livingstone,23.0,Centre-Forward,Blackburn,£360Th.,in,Winter,0.36,Premier League,1992,1992/1993,attacker,10967.0
104,Chelsea FC,Tom Boyd,27.0,Left-Back,Celtic,£1.01m,out,Winter,1.01,Premier League,1992,1992/1993,defender,77.0
106,Chelsea FC,Joe Allon,26.0,Centre-Forward,Brentford,£284Th.,out,Winter,0.284,Premier League,1992,1992/1993,attacker,78.0
107,Chelsea FC,Mick Harford,34.0,Centre-Forward,Sunderland,£257Th.,out,Winter,0.257,Premier League,1992,1992/1993,attacker,10949.0
108,Leeds United,David Kerslake,26.0,Right-Back,Swindon Town,£563Th.,in,Winter,0.563,Premier League,1992,1992/1993,defender,10968.0
109,Leeds United,Frank Strandli,20.0,Centre-Forward,Start,£315Th.,in,Winter,0.315,Premier League,1992,1992/1993,attacker,10969.0
110,Leeds United,Kevin Sharp,18.0,Left-Back,AJ Auxerre,£81Th.,in,Winter,0.081,Premier League,1992,1992/1993,defender,10953.0
112,Sheffield United,Franz Carr,26.0,Right Winger,Newcastle,£135Th.,in,Winter,0.135,Premier League,1992,1992/1993,attacker,10970.0
114,Southampton FC,Frankie Bennett,24.0,Centre-Forward,Halesowen,£8Th.,in,Winter,0.008,Premier League,1992,1992/1993,attacker,10971.0
115,Southampton FC,David Lee,24.0,Midfielder,Bolton,£310Th.,out,Winter,0.31,Premier League,1992,1992/1993,midfielder,10972.0
116,Blackburn Rovers,Graeme Le Saux,24.0,Left-Back,Chelsea,£945Th.,in,Winter,0.945,Premier League,1992,1992/1993,defender,10973.0
117,Blackburn Rovers,Henning Berg,23.0,Right-Back,Lillestrøm SK,£495Th.,in,Winter,0.495,Premier League,1992,1992/1993,defender,10974.0
118,Blackburn Rovers,Simon Ireland,20.0,Midfielder,Huddersfield,£227Th.,in,Winter,0.22699999999999998,Premier League,1992,1992/1993,midfielder,10975.0
